Order	Line	Ordered Item	Qty	Status	UOM	Unit Selling Price	Price List	Line Type	Qty Cancelled	Qty Fulfilled	List Price	Extended Price	Request Date	Warehouse	Ship To Location	Secondary Shipping Qty
437837	42.1	024003P10	12	Closed	EA	11.22	Hurst Price List	Paint Line	0	12	11.22	134.64	8/2/2019 0:00	DC1	1118	1120
437837	43.1	024210P8	16	Closed	EA	10.19	Hurst Price List	Paint Line	0	16	10.19	163.04	8/2/2019 0:00	DC1	1118	1120
437837	44.1	024001P6	3	Closed	EA	51.06	Hurst Price List	Paint Line	0	3	51.06	153.18	8/2/2019 0:00	DC1	1118	1120
437837	45.1	023407P10	20	Closed	EA	12.66	Hurst Price List	Paint Line	0	20	12.66	253.2	8/2/2019 0:00	DC1	1118	1120
437837	46.1	023408P10	4	Closed	EA	10.71	Hurst Price List	Paint Line	0	4	10.71	42.84	8/2/2019 0:00	DC1	1118	1120
437837	47.1	024408P2	4	Closed	EA	12.27	Hurst Price List	Paint Line	0	4	12.27	49.08	8/2/2019 0:00	DC1	1118	1120
437837	48.1	024409P2	4	Closed	EA	9.92	Hurst Price List	Paint Line	0	4	9.92	39.68	8/2/2019 0:00	DC1	1118	1120
437837	49.1	023809P2	4	Closed	EA	14.22	Hurst Price List	Paint Line	0	4	14.22	56.88	8/2/2019 0:00	DC1	1118	1120
437837	50.1	023610P6	4	Closed	EA	14.78	Hurst Price List	Paint Line	0	4	14.78	59.12	8/2/2019 0:00	DC1	1118	1120
437837	51.1	023803P6	8	Closed	EA	14.95	Hurst Price List	Paint Line	0	8	14.95	119.6	8/2/2019 0:00	DC1	1118	1120
437837	52.1	024004P4	4	Closed	EA	10.04	Hurst Price List	Paint Line	0	4	10.04	40.16	8/2/2019 0:00	DC1	1118	1120
437837	53.1	024005P8	4	Closed	EA	9.96	Hurst Price List	Paint Line	0	4	9.96	39.84	8/2/2019 0:00	DC1	1118	1120
437837	54.1	023402P8	4	Closed	EA	7.46	Hurst Price List	Paint Line	0	4	7.46	29.84	8/2/2019 0:00	DC1	1118	1120
437837	55.1	024002P6	3	Closed	EA	52.79	Hurst Price List	Paint Line	0	3	52.79	158.37	8/2/2019 0:00	DC1	1118	1120
437837	56.1	024403P10	4	Closed	EA	9.96	Hurst Price List	Paint Line	0	4	9.96	39.84	8/2/2019 0:00	DC1	1118	1120
437837	57.1	023408P2	8	Closed	EA	11.64	Hurst Price List	Paint Line	0	8	11.64	93.12	8/2/2019 0:00	DC1	1118	1120
437837	58.1	023403P8	4	Closed	EA	13.06	Hurst Price List	Paint Line	0	4	13.06	52.24	8/2/2019 0:00	DC1	1118	1120
437837	59.1	024409P8	4	Closed	EA	8.89	Hurst Price List	Paint Line	0	4	8.89	35.56	8/2/2019 0:00	DC1	1118	1120
437837	60.1	024407P0	4	Closed	EA	12.97	Hurst Price List	Paint Line	0	4	12.97	51.88	8/2/2019 0:00	DC1	1118	1120
437837	61.1	024410P4	4	Closed	EA	12.29	Hurst Price List	Paint Line	0	4	12.29	49.16	8/2/2019 0:00	DC1	1118	1120
437837	62.1	024407P2	12	Closed	EA	10.38	Hurst Price List	Paint Line	0	12	10.38	124.56	8/2/2019 0:00	DC1	1118	1120
437837	63.1	024601P00	8	Closed	EA	9.64	Hurst Price List	Paint Line	0	8	9.64	77.12	8/2/2019 0:00	DC1	1118	1120
437837	64.1	023606P8	4	Closed	EA	12.24	Hurst Price List	Paint Line	0	4	12.24	48.96	8/2/2019 0:00	DC1	1118	1120
437837	65.1	023602P6	12	Closed	EA	13.12	Hurst Price List	Paint Line	0	12	13.12	157.44	8/2/2019 0:00	DC1	1118	1120
437837	66.1	024210P10	8	Closed	EA	44.81	Hurst Price List	Paint Line	0	8	44.81	358.48	8/2/2019 0:00	DC1	1118	1120
437837	67.1	023803P2	12	Closed	EA	15.13	Hurst Price List	Paint Line	0	12	15.13	181.56	8/2/2019 0:00	DC1	1118	1120
437837	68.1	023610P0	12	Closed	EA	15.37	Hurst Price List	Paint Line	0	12	15.37	184.44	8/2/2019 0:00	DC1	1118	1120
437837	69.1	023401P2	10	Closed	EA	46.98	Hurst Price List	Paint Line	0	10	46.98	469.8	8/2/2019 0:00	DC1	1118	1120
437837	70.1	023401P6	6	Closed	EA	46.71	Hurst Price List	Paint Line	0	6	46.71	280.26	8/2/2019 0:00	DC1	1118	1120
437836	1.1	023408P0	3	Picked	EA	57.57	Hurst Price List	Paint Line	0		57.57	172.71	8/2/2019 0:00	DC1	225	227
437836	2.1	024201P8	8	Picked	EA	51.44	Hurst Price List	Paint Line	0		51.44	411.52	8/2/2019 0:00	DC1	225	227
437836	3.1	023405P2	4	Picked	EA	52.49	Hurst Price List	Paint Line	0		52.49	209.96	8/2/2019 0:00	DC1	225	227
437836	4.1	023409P4	3	Picked	EA	54.23	Hurst Price List	Paint Line	0		54.23	162.69	8/2/2019 0:00	DC1	225	227
437836	5.1	023604P0	4	Picked	EA	41.2	Hurst Price List	Paint Line	0		41.2	164.8	8/2/2019 0:00	DC1	225	227
437836	6.1	024001P10	4	Picked	EA	14.63	Hurst Price List	Paint Line	0		14.63	58.52	8/2/2019 0:00	DC1	225	227
437836	7.1	024010P10	4	Picked	EA	11.15	Hurst Price List	Paint Line	0		11.15	44.6	8/2/2019 0:00	DC1	225	227
437836	8.1	024201P6	4	Picked	EA	11.43	Hurst Price List	Paint Line	0		11.43	45.72	8/2/2019 0:00	DC1	225	227
